,Q,A,E,U
0,평균을 구하는 프로그램을 만들고 싶은데 어떻게 하나요?,numpy.mean() 함수를 사용하세요.,np.mean([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.mean.html
"
1,분산을 구하는 방법을 알고 싶어요.,numpy.var() 함수를 사용하세요.,np.var([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.var.html
"
2,표준편차를 구하는 코드를 알려주세요.,numpy.std() 함수를 사용하세요.,np.std([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.std.html
"
3,최대값을 구하는 함수가 뭔지 알려주세요.,numpy.max() 함수를 사용하세요.,np.max([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.max.html
"
4,최소값을 구하는 코드는 어떻게 짜시나요?,numpy.min() 함수를 사용하세요.,np.min([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.min.html
"
5,데이터의 중간값을 구하고 싶은데요.,numpy.median() 함수를 사용하세요.,np.median([숫자 리스트]),"https://numpy.org/doc/1.26/reference/generated/numpy.median.html
"
6,사분위수를 구하는 함수가 뭔지 알 수 있나요?,numpy.quantile() 함수를 사용하세요.,"np.quantile([숫자 리스트], 0.25) # 하위 사분위수","https://numpy.org/doc/1.26/reference/generated/numpy.quantile.html
"
7,모드를 구하는 코드를 알려주세요.,scipy.stats.mode() 함수를 사용하세요.,"from scipy import stats
stats.mode([숫자 리스트])","https://docs.scipy.org/doc/scipy/reference/generated/scipy.stats.mode.html
"
8,상관계수를 구하는 방법을 알려주실 수 있나요?,numpy.corrcoef() 함수를 사용하세요.,"np.corrcoef([데이터 배열1], [데이터 배열2])","https://numpy.org/doc/1.26/reference/generated/numpy.corrcoef.html
"
9,데이터 프레임에서 특정 열의 모든 값을 더하는 방법은 무엇인가요?,df['열 이름'].sum() 함수를 사용하여 데이터 프레임에서 특정 열의 모든 값을 더할 수 있습니다.,df['age'].sum(),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.sum.html
"
10,데이터 프레임에 새로운 열을 추가하는 방법은 무엇인가요?,df['새로운 열 이름'] = 값 또는 df.assign(새로운 열 이름=값)을 사용하여 데이터 프레임에 새로운 열을 추가할 수 있습니다.,df['새로운 열 이름'] = df['기존 열 이름'] + 10,"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.assign.html
"
11,개별 값에 기반하여 데이터 프레임에서 행을 필터링하는 방법은 무엇인가요?,df.query() 함수를 사용하여 개별 값에 기반하여 데이터 프레임에서 행을 필터링할 수 있습니다.,"df.query(""age > 18"")","https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.query.html
"
12,중복된 행을 데이터 프레임에서 제거하는 방법은 무엇인가요?,df.drop_duplicates() 함수를 사용하여 중복된 행을 데이터 프레임에서 제거할 수 있습니다.,df.drop_duplicates(),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.drop_duplicates.html
"
13,데이터 프레임의 데이터 유형을 확인하는 방법은 무엇인가요?,df.dtypes를 사용하여 데이터 프레임의 데이터 유형을 확인할 수 있습니다.,df.dtypes,"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.dtypes.html
"
14,데이터 프레임의 특정 열을 문자열로 변환하는 방법은 무엇인가요?,df['열 이름'] = df['열 이름'].astype(str)을 사용하여 데이터 프레임의 특정 열을 문자열로 변환할 수 있습니다.,df['나이'] = df['나이'].astype(str),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.astype.html
"
15,데이터 프레임에서 결측값을 채우는 방법은 무엇인가요?,df['열 이름'].fillna(값)을 사용하여 데이터 프레임에서 특정 열의 결측값을 채울 수 있습니다.,df['나이'].fillna(0),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.Series.fillna.html
"
16,데이터 프레임에 열 이름을 변경하는 방법은 무엇인가요?,df.rename(columns={'기존 열 이름': '새로운 열 이름'})을 사용하여 데이터 프레임의 열 이름을 변경할 수 있습니다.,df.rename(columns={'이름': '사용자 이름'}),"https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.DataFrame.rename.html
"
